Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,9:24:17 h,Stockholm Runners,SWE,1985,M,M40,10.633,9000001
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,9:48:02 h,Gothenburg AC,SWE,1990,M,M35,10.204,9000002
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,10:15:33 h,Uppsala Track Club,SWE,1988,F,W35,9.752,9000003
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,10:42:18 h,Helsinki Hounds,FIN,1982,M,M40,9.346,9000004
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,11:03:55 h,Oslo Striders,NOR,1979,M,M45,9.040,9000005
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,11:28:41 h,Copenhagen Pace,DEN,1986,F,W40,8.717,9000006
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,11:51:09 h,Reykjavik Lava Runners,ISL,1991,M,M35,8.434,9000007
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,12:17:34 h,Stockholm Runners,SWE,1975,M,M50,8.140,9000008
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,12:44:08 h,Berlin Trailblazers,GER,1980,F,W45,7.857,9000009
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,13:09:55 h,Paris Endurance,FRA,1983,M,M40,7.598,9000010
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,13:38:21 h,Stockholm Runners,SWE,1992,F,W30,7.334,9000011
2026,15.05.2026,Marathos Stockholm Ultra 2026 (SWE),100km,87,14:05:12 h,Solo,SWE,1996,M,M30,7.099,9000012
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,238.5 km,Gothenburg AC,SWE,1984,M,M40,9.938,9000013
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,225.1 km,Stockholm Runners,SWE,1981,M,M45,9.379,9000014
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,212.7 km,Helsinki Hounds,FIN,1989,M,M35,8.863,9000015
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,201.4 km,Oslo Striders,NOR,1987,F,W35,8.392,9000016
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,189.6 km,Copenhagen Pace,DEN,1978,M,M45,7.900,9000017
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,176.8 km,Gothenburg AC,SWE,1993,F,W30,7.367,9000018
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,164.2 km,Solo,SWE,1971,M,M55,6.842,9000019
2026,22.05.2026,Marathos Goteborg 24h 2026 (SWE),24h,52,151.9 km,Berlin Trailblazers,GER,1995,M,M30,6.329,9000020
2026,29.05.2026,Marathos Malmo 50mi 2026 (SWE),50mi,64,7:48:22 h,Malmo Beach Runners,SWE,1983,M,M40,10.318,9000021
2026,29.05.2026,Marathos Malmo 50mi 2026 (SWE),50mi,64,8:11:45 h,Copenhagen Pace,DEN,1986,M,M40,9.823,9000022
2026,29.05.2026,Marathos Malmo 50mi 2026 (SWE),50mi,64,8:35:09 h,Stockholm Runners,SWE,1990,F,W35,9.371,9000023
2026,29.05.2026,Marathos Malmo 50mi 2026 (SWE),50mi,64,9:02:38 h,Solo,SWE,1982,M,M40,8.898,9000024
2026,29.05.2026,Marathos Malmo 50mi 2026 (SWE),50mi,64,9:28:14 h,Helsinki Hounds,FIN,1988,M,M35,8.495,9000025
